Ano;Mês;Empresa;CNPJ;Porte da Prestadora;UF;Município;Código IBGE Município;Tecnologia;Acessos
2019;3;VIVO;02558157000162;Grande Porte;SP;Uru;3555901;DTH;3
2019;3;VIVO;02558157000162;Grande Porte;SP;Miracatu;3529906;DTH;94
2019;3;VIVO;02558157000162;Grande Porte;SP;Lagoinha;3526308;DTH;14
2019;3;VIVO;02558157000162;Grande Porte;SP;Itanhaém;3522109;DTH;1495
2019;3;VIVO;02558157000162;Grande Porte;SP;São Caetano do Sul;3548807;DTH;332
2019;3;VIVO;02558157000162;Grande Porte;SP;Canas;3509957;DTH;23
2019;3;VIVO;02558157000162;Grande Porte;SP;Capão Bonito;3510203;DTH;189
2019;3;VIVO;02558157000162;Grande Porte;SP;Catiguá;3511201;DTH;10
2019;3;VIVO;02558157000162;Grande Porte;SC;Nova Veneza;4211603;DTH;3
2019;3;VIVO;02558157000162;Grande Porte;SP;Nova Granada;3533007;DTH;100
2019;3;VIVO;02558157000162;Grande Porte;SP;Pilar do Sul;3537909;DTH;122
2019;3;VIVO;02558157000162;Grande Porte;SP;Batatais;3505906;DTH;5
2019;3;VIVO;02558157000162;Grande Porte;SP;Palmital;3535309;DTH;97
2019;3;VIVO;02558157000162;Grande Porte;SP;Jambeiro;3524907;DTH;31
2019;3;VIVO;02558157000162;Grande Porte;SP;Lutécia;3527900;DTH;4
2019;3;VIVO;02558157000162;Grande Porte;SP;Piedade;3537800;DTH;217
2019;3;VIVO;02558157000162;Grande Porte;SP;Iaras;3519253;DTH;15
2019;3;VIVO;02558157000162;Grande Porte;BA;Alagoinhas;2900702;DTH;289
2019;3;VIVO;02558157000162;Grande Porte;SP;Nova Campina;3532827;DTH;3
2019;3;VIVO;02558157000162;Grande Porte;SP;Rinópolis;3543808;DTH;22
2019;3;VIVO;02558157000162;Grande Porte;SP;Boa Esperança do Sul;3506706;DTH;53
2019;3;VIVO;02558157000162;Grande Porte;SP;São José da Bela Vista;3549508;DTH;17
2019;3;VIVO;02558157000162;Grande Porte;SP;"Santa Clara d'Oeste";3546108;DTH;7
2019;3;VIVO;02558157000162;Grande Porte;SP;Luís Antônio;3527603;DTH;35
2019;3;VIVO;02558157000162;Grande Porte;SP;Eldorado;3514809;DTH;45
2019;3;VIVO;02558157000162;Grande Porte;SC;Biguaçu;4202305;DTH;840
