Ano;Mês;Empresa;CNPJ;Porte da Prestadora;UF;Município;Código IBGE Município;Tecnologia;Acessos
2019;6;OI;05423963000111;Grande Porte;PR;Bela Vista do Paraíso;4102802;DTH;70
2019;6;OI;05423963000111;Grande Porte;MG;Florestal;3126000;DTH;184
2019;6;OI;05423963000111;Grande Porte;MG;Moema;3142403;DTH;172
2019;6;OI;05423963000111;Grande Porte;PE;Machados;2609105;DTH;20
2019;6;OI;05423963000111;Grande Porte;PB;Passagem;2510709;DTH;1
2019;6;OI;05423963000111;Grande Porte;SP;Caraguatatuba;3510500;DTH;28
2019;6;OI;05423963000111;Grande Porte;PE;Pedra;2610806;DTH;186
2019;6;OI;05423963000111;Grande Porte;SP;Santana de Parnaíba;3547304;DTH;2
2019;6;OI;05423963000111;Grande Porte;PE;Agrestina;2600302;DTH;55
2019;6;OI;05423963000111;Grande Porte;AL;Porto de Pedras;2707404;DTH;90
2019;6;OI;05423963000111;Grande Porte;SP;Jaguariúna;3524709;DTH;12
2019;6;OI;05423963000111;Grande Porte;AP;Pedra Branca do Amapari;1600154;DTH;12
2019;6;OI;05423963000111;Grande Porte;PE;Petrolândia;2611002;DTH;355
2019;6;OI;05423963000111;Grande Porte;MA;Lagoa Grande do Maranhão;2105963;DTH;192
2019;6;OI;05423963000111;Grande Porte;MG;Coronel Murta;3119500;DTH;221
2019;6;OI;05423963000111;Grande Porte;MA;Loreto;2106102;DTH;11
2019;6;OI;05423963000111;Grande Porte;SE;Frei Paulo;2802304;DTH;145
2019;6;OI;05423963000111;Grande Porte;PE;Carpina;2604007;DTH;332
2019;6;OI;05423963000111;Grande Porte;AL;Limoeiro de Anadia;2704203;DTH;85
2019;6;OI;05423963000111;Grande Porte;PR;Lapa;4113205;DTH;655
2019;6;OI;05423963000111;Grande Porte;SE;Itabi;2803104;DTH;104
2019;6;OI;05423963000111;Grande Porte;PR;Ariranha do Ivaí;4101853;DTH;13
2019;6;OI;05423963000111;Grande Porte;SE;Malhada dos Bois;2803807;DTH;87
2019;6;OI;05423963000111;Grande Porte;PE;Nazaré da Mata;2609501;DTH;200
2019;6;OI;05423963000111;Grande Porte;PB;Princesa Isabel;2512309;DTH;2
2019;6;OI;05423963000111;Grande Porte;PR;São José dos Pinhais;4125506;DTH;4425
2019;6;OI;05423963000111;Grande Porte;PE;Maraial;2609204;DTH;21
2019;6;OI;05423963000111;Grande Porte;PR;Centenário do Sul;4105102;DTH;43
2019;6;OI;05423963000111;Grande Porte;SP;Queluz;3541901;DTH;1
2019;6;OI;05423963000111;Grande Porte;PB;Nazarezinho;2510006;DTH;2
2019;6;OI;05423963000111;Grande Porte;PR;Serranópolis do Iguaçu;4126355;DTH;14
2019;6;OI;05423963000111;Grande Porte;MG;Cláudio;3116605;DTH;749
2019;6;OI;05423963000111;Grande Porte;RN;São José do Campestre;2412302;DTH;46
2019;6;OI;05423963000111;Grande Porte;RN;São Miguel;2412500;DTH;13
2019;6;OI;05423963000111;Grande Porte;PB;Conceição;2504405;DTH;6
2019;6;OI;05423963000111;Grande Porte;RN;Alto do Rodrigues;2400703;DTH;53
2019;6;OI;05423963000111;Grande Porte;MG;Verdelândia;3171030;DTH;189
2019;6;OI;05423963000111;Grande Porte;PR;Itaipulândia;4110953;DTH;65
2019;6;OI;05423963000111;Grande Porte;PB;Puxinanã;2512408;DTH;16
2019;6;OI;05423963000111;Grande Porte;SP;Mongaguá;3531100;DTH;8
2019;6;OI;05423963000111;Grande Porte;SP;Arujá;3503901;DTH;3
2019;6;OI;05423963000111;Grande Porte;RS;Arroio do Tigre;4301206;DTH;11
2019;6;OI;05423963000111;Grande Porte;PR;Iracema do Oeste;4110656;DTH;41
2019;6;OI;05423963000111;Grande Porte;SP;Itapecerica da Serra;3522208;DTH;5
2019;6;OI;05423963000111;Grande Porte;PR;Tapira;4126900;DTH;100
2019;6;OI;05423963000111;Grande Porte;AC;Brasiléia;1200104;DTH;162
2019;6;OI;05423963000111;Grande Porte;RS;Progresso;4315156;DTH;5
2019;6;OI;05423963000111;Grande Porte;PR;Pato Bragado;4118451;DTH;8
2019;6;OI;05423963000111;Grande Porte;PE;São José da Coroa Grande;2613404;DTH;74
2019;6;OI;05423963000111;Grande Porte;SP;Ribeirão Pires;3543303;DTH;3
2019;6;OI;05423963000111;Grande Porte;MA;Serrano do Maranhão;2111789;DTH;157
2019;6;OI;05423963000111;Grande Porte;SP;Itatiba;3523404;DTH;6
2019;6;OI;05423963000111;Grande Porte;MA;Anapurus;2100808;DTH;967
2019;6;OI;05423963000111;Grande Porte;PR;Fênix;4107702;DTH;34
2019;6;OI;05423963000111;Grande Porte;RS;Sapucaia do Sul;4320008;DTH;975
2019;6;OI;05423963000111;Grande Porte;PB;Teixeira;2516706;DTH;7
2019;6;OI;05423963000111;Grande Porte;MG;Jaíba;3135050;DTH;1052
2019;6;OI;05423963000111;Grande Porte;SP;Catanduva;3511102;DTH;13
2019;6;OI;05423963000111;Grande Porte;PB;Itatuba;2507200;DTH;22
2019;6;OI;05423963000111;Grande Porte;AL;Feira Grande;2702603;DTH;81
2019;6;OI;05423963000111;Grande Porte;MG;Serranópolis de Minas;3166956;DTH;18
2019;6;OI;05423963000111;Grande Porte;PB;São Bentinho;2513927;DTH;1
2019;6;OI;05423963000111;Grande Porte;MG;João Monlevade;3136207;DTH;1001
2019;6;OI;05423963000111;Grande Porte;MG;Capim Branco;3112505;DTH;60
2019;6;OI;05423963000111;Grande Porte;PE;Petrolina;2611101;DTH;1089
2019;6;OI;05423963000111;Grande Porte;PR;Pitangueiras;4119657;DTH;10
2019;6;OI;05423963000111;Grande Porte;MG;Crucilândia;3120607;DTH;72
2019;6;OI;05423963000111;Grande Porte;PR;Faxinal;4107603;DTH;184
2019;6;OI;05423963000111;Grande Porte;SP;Paranapanema;3535804;DTH;13
2019;6;OI;05423963000111;Grande Porte;PA;Tucuruí;1508100;DTH;196
2019;6;OI;05423963000111;Grande Porte;SP;Vargem Grande Paulista;3556453;DTH;1
2019;6;OI;05423963000111;Grande Porte;PE;Caruaru;2604106;DTH;577
2019;6;OI;05423963000111;Grande Porte;MG;Santo Antônio do Rio Abaixo;3160504;DTH;6
2019;6;OI;05423963000111;Grande Porte;PE;Moreilândia;2614303;DTH;5
2019;6;OI;05423963000111;Grande Porte;PR;Guapirama;4109005;DTH;14
2019;6;OI;05423963000111;Grande Porte;SP;Ouroeste;3534757;DTH;2
2019;6;OI;05423963000111;Grande Porte;SP;Santa Mercedes;3547106;DTH;1
2019;6;OI;05423963000111;Grande Porte;SP;Cândido Mota;3510005;DTH;1
2019;6;OI;05423963000111;Grande Porte;RS;Venâncio Aires;4322608;DTH;129
2019;6;OI;05423963000111;Grande Porte;SP;Tuiuti;3554953;DTH;1
2019;6;OI;05423963000111;Grande Porte;ES;Piúma;3204203;DTH;700
2019;6;OI;05423963000111;Grande Porte;ES;Irupi;3202652;DTH;437
2019;6;OI;05423963000111;Grande Porte;SP;Floreal;3515905;DTH;1
2019;6;OI;05423963000111;Grande Porte;SP;Guarulhos;3518800;DTH;51
2019;6;OI;05423963000111;Grande Porte;SP;Poá;3539806;DTH;7
2019;6;OI;05423963000111;Grande Porte;ES;Itapemirim;3202801;DTH;1079
2019;6;OI;05423963000111;Grande Porte;MG;Nova União;3136603;DTH;71
2019;6;OI;05423963000111;Grande Porte;SP;Ariranha;3503703;DTH;1
2019;6;OI;05423963000111;Grande Porte;PA;Água Azul do Norte;1500347;DTH;78
2019;6;OI;05423963000111;Grande Porte;AP;Calçoene;1600204;DTH;22
2019;6;OI;05423963000111;Grande Porte;PE;Taquaritinga do Norte;2615003;DTH;79
2019;6;OI;05423963000111;Grande Porte;PE;Orobó;2609709;DTH;69
2019;6;OI;05423963000111;Grande Porte;SP;Sebastianópolis do Sul;3551306;DTH;1
2019;6;OI;05423963000111;Grande Porte;ES;Vila Valério;3205176;DTH;13
2019;6;OI;05423963000111;Grande Porte;PA;Castanhal;1502400;DTH;718
2019;6;OI;05423963000111;Grande Porte;ES;Cachoeiro de Itapemirim;3201209;DTH;4324
2019;6;OI;05423963000111;Grande Porte;AL;Girau do Ponciano;2702900;DTH;98
2019;6;OI;05423963000111;Grande Porte;MG;São Vicente de Minas;3165305;DTH;268
2019;6;OI;05423963000111;Grande Porte;MG;São Thomé das Letras;3165206;DTH;226
2019;6;OI;05423963000111;Grande Porte;AC;Assis Brasil;1200054;DTH;61
2019;6;OI;05423963000111;Grande Porte;MG;Japonvar;3135357;DTH;169
2019;6;OI;05423963000111;Grande Porte;MG;Ibiracatu;3129657;DTH;47
2019;6;OI;05423963000111;Grande Porte;MG;Capitólio;3112802;DTH;448
2019;6;OI;05423963000111;Grande Porte;SP;São Sebastião da Grama;3550803;DTH;1
2019;6;OI;05423963000111;Grande Porte;MG;Unaí;3170404;DTH;990
2019;6;OI;05423963000111;Grande Porte;SP;Aguaí;3500303;DTH;1
2019;6;OI;05423963000111;Grande Porte;PE;Timbaúba;2615300;DTH;183
2019;6;OI;05423963000111;Grande Porte;MG;Antônio Prado de Minas;3103108;DTH;10
2019;6;OI;05423963000111;Grande Porte;CE;Capistrano;2302909;DTH;203
2019;6;OI;05423963000111;Grande Porte;MG;Gurinhatã;3129103;DTH;1
2019;6;OI;05423963000111;Grande Porte;SE;Ilha das Flores;2802700;DTH;184
2019;6;OI;05423963000111;Grande Porte;PB;Duas Estradas;2505808;DTH;48
2019;6;OI;05423963000111;Grande Porte;MG;Serrania;3166907;DTH;302
2019;6;OI;05423963000111;Grande Porte;MG;Várzea da Palma;3170800;DTH;371
2019;6;OI;05423963000111;Grande Porte;AL;Belém;2700805;DTH;18
2019;6;OI;05423963000111;Grande Porte;AL;Maragogi;2704500;DTH;180
2019;6;OI;05423963000111;Grande Porte;PB;Sousa;2516201;DTH;41
2019;6;OI;05423963000111;Grande Porte;SP;Colina;3512001;DTH;2
2019;6;OI;05423963000111;Grande Porte;MA;Amapá do Maranhão;2100550;DTH;275
2019;6;OI;05423963000111;Grande Porte;MG;Rubim;3156601;DTH;133
