,"car","area","uf","mun","modulo_fiscal","tipo_imovel","situacao","condicao",,,
,"MG-3109006-6D939FBD407745C8B9CCAA0515EA258E","15.3421","MG","Brumadinho","0.7671","IRU","AT","Aguardando","analise",,
,"MG-3109006-56866DDF65EA4E82802255495CACDB6B","4.7129","MG","Brumadinho","0.2356","IRU","AT","Aguardando","analise",,
,"MG-3109006-45103F185F4240A1940D7C1B67CB2441","9.6378","MG","Brumadinho","0.4819","IRU","AT","Aguardando","analise",,
,"MG-3109006-9F81974CB978413CB95816C4A970CC5C","79.7026","MG","Brumadinho","3.9851","IRU","AT","Aguardando","analise",,
,"MG-3109006-198A24C9FC3F46AEBAE9B8EAFECF18D5","2.6120","MG","Brumadinho","0.1306","IRU","AT","Aguardando","analise",,
,"MG-3109006-F9B926977CC74B4AA9E6B8B989662DEB","9.4905","MG","Brumadinho","0.4745","IRU","AT","Aguardando","analise",,
,"MG-3109006-CB889E7E4AD64B51AC819891231309AF","10.0797","MG","Brumadinho","0.5040","IRU","AT","Aguardando","analise",,
,"MG-3109006-3B759285FCED498EA6D1007E58C75B22","3.8786","MG","Brumadinho","0.1939","IRU","AT","Aguardando","analise",,
,"MG-3109006-8801ADB3871F413388072828E0FC11E5","1.3795","MG","Brumadinho","0.0690","IRU","AT","Aguardando","analise",,
,"MG-3109006-668AD2F733724756BB5B51FB58F6C569","9.5096","MG","Brumadinho","0.4755","IRU","AT","Aguardando","analise",,
,"MG-3109006-84D3735DCFDE47E3BDA68BA76B05F47C","11.7868","MG","Brumadinho","0.5893","IRU","AT","Aguardando","analise",,
,"MG-3109006-6E2D0D89B0C348D084E6B2F2F66957B1","19.1044","MG","Brumadinho","0.9552","IRU","AT","Aguardando","analise",,
,"MG-3109006-EBDD7ADE92994305AE01AD567BFEA5F4","1.5128","MG","Brumadinho","0.0756","IRU","AT","Aguardando","analise",,
,"MG-3109006-486A7BA60FBC4A4ABE6E44498D208B1B","5.8326","MG","Brumadinho","0.2916","IRU","AT","Aguardando","analise",,
,"MG-3109006-799157D48AEB472492E0036E6FCEFE19","27.8844","MG","Brumadinho","1.3942","IRU","AT","Aguardando","analise",,
,"MG-3109006-146FD577E8A542AA92987AAC6F96AA3A","10.7927","MG","Brumadinho","0.5396","IRU","AT","Aguardando","analise",,
,"MG-3109006-80303A5F3AA542EF993590CEC2107F6E","18.3870","MG","Brumadinho","0.9194","IRU","AT","Aguardando","analise",,
,"MG-3109006-FC8002B4FDD648B0976E255D5D8D11AC","5.0932","MG","Brumadinho","0.2547","IRU","AT","Aguardando","analise",,
,"MG-3109006-B836F1F0700442C0B4EE8C2C1EE72077","5.1635","MG","Brumadinho","0.2582","IRU","AT","Aguardando","analise",,
,"MG-3109006-51DF26AB17694700AF86CBE62A5B9BB0","27.9841","MG","Brumadinho","1.3992","IRU","AT","Aguardando","analise",,
,"MG-3109006-C1ACC9D9B6C2431BB30827A3512B2910","40.2347","MG","Brumadinho","2.0117","IRU","AT","Aguardando","analise",,
,"MG-3109006-D28A65A9CE264EFE93BAADD7A5CBA431","10.0374","MG","Brumadinho","0.5019","IRU","AT","Aguardando","analise",,
,"MG-3109006-CD4892EE935B4D00BE18119AE975F464","15.8214","MG","Brumadinho","0.7911","IRU","AT","Aguardando","analise",,
,"MG-3109006-07BE59DE18EA4E8B97FA40FFBE7F0685","12.9525","MG","Brumadinho","0.6500","IRU","AT","Aguardando","análise",,
,"MG-3109006-C4E222972DF446DE834595C95091153A","2.3491","MG","Brumadinho","0.1175","IRU","AT","Aguardando","analise",,
,"MG-3109006-6D43BB061F2747FB9E0AF3426E10E0CC","26.6839","MG","Brumadinho","1.3342","IRU","AT","Aguardando","analise",,
,"MG-3109006-7B4A89893C0D4881BEB138D068621178","5.7004","MG","Brumadinho","0.2850","IRU","AT","Aguardando","analise",,
,"MG-3109006-8607766700AF4726B9D280EB6013D7A3","77.4114","MG","Brumadinho","7.4841","IRU","AT","Aguardando","analise",,
,"MG-3109006-7C80371FD1E04813973017F05038F98F","143.4786","MG","Brumadinho","7.1739","IRU","AT","Aguardando","analise",,
,"MG-3109006-8839668EBC8344148819FC3A447DA33E","325.5489","MG","Brumadinho","16.2774","IRU","AT","Aguardando","analise",,
,"MG-3109006-4DF7E6CED6C24559953450CA30BFE9CE","47.7820","MG","Brumadinho","2.3891","IRU","AT","Aguardando","analise",,
,"MG-3109006-D0B93D54A62A4938B8E452DB1DD6EC55","9.3010","MG","Brumadinho","0.4651","IRU","AT","Aguardando","analise",,
,"MG-3109006-1B0FA6BD6A9645A48055C0A236FA9CA4","46.9571","MG","Brumadinho","2.3479","IRU","AT","Aguardando","analise",,
,"MG-3109006-4EDFE876D6F8443F9A1EB054F3606726","2.0503","MG","Brumadinho","0.1025","IRU","AT","Aguardando","analise",,
,"MG-3109006-1BA2C0548BE94D9A97833830DEE124AD","2.0649","MG","Brumadinho","0.1032","IRU","AT","Aguardando","analise",,
,"MG-3109006-A6ED95BD26EB448DA9CBE1374539A9F4","1.5181","MG","Brumadinho","0.0759","IRU","AT","Aguardando","analise",,
,"MG-3109006-876895786D1841418E6816B872D0516B","6.5404","MG","Brumadinho","0.3270","IRU","AT","Aguardando","analise",,
,"MG-3109006-11D58587E83D49288B61199A569F6EB9","3.6131","MG","Brumadinho","0.1800","IRU","AT","Aguardando","análise",,
,"MG-3109006-1CE593CC2BA149B2A0094DDFC90119B1","2.9979","MG","Brumadinho","0.1499","IRU","AT","Aguardando","analise",,
,"MG-3109006-6333FFD8061A43179513273650BBF52B","2.7458","MG","Brumadinho","0.1373","IRU","AT","Aguardando","analise",,
,"MG-3109006-301A200721FB4D54B326B5DA1DF44ED4","68.8428","MG","Brumadinho","3.4421","IRU","AT","Aguardando","analise",,
,"MG-3109006-7D261517FE0C44B1B0DA89EEB56A54E6","1.3757","MG","Brumadinho","0.0688","IRU","AT","Aguardando","análise",,
,"MG-3109006-A2BCC3129C4742A4A13591F870F209F1","2.4249","MG","Brumadinho","0.1212","IRU","AT","Aguardando","análise",,
,"MG-3109006-53B306FC243F4CB3A98E0F2423365EB4","20.7738","MG","Brumadinho","1.0387","IRU","AT","Aguardando","analise",,
,"MG-3109006-53553F2E7C06411B9F92D143C2426603","13.4741","MG","Brumadinho","0.6737","IRU","AT","Aguardando","analise",,
,"MG-3109006-05E7BE7D47A74E4BA40CCE82CA4DD100","5.4584","MG","Brumadinho","0.2729","IRU","AT","Aguardando","analise",,
,"MG-3109006-BC118006A5A14B9597E52A24E98C9D09","16.9920","MG","Brumadinho","0.8496","IRU","AT","Aguardando","analise",,
,"MG-3109006-81B76F9C07604D3E9EA9C9DB3C260AF8","9.0332","MG","Brumadinho","0.4517","IRU","AT","Aguardando","analise",,
,"MG-3109006-C6EE5D1266074B4F96A31EF3AEF29734","30.9745","MG","Brumadinho","1.5487","IRU","AT","Aguardando","análise",,
,"MG-3109006-5AE665E158A642E1ABBFD98AC6BEE540","10.8429","MG","Brumadinho","0.5400","IRU","AT","Aguardando","análise",,
,"MG-3109006-AEF50CD7D8DC43799910D8A619F51FFA","24.4687","MG","Brumadinho","1.2200","IRU","AT","Aguardando","análise",,
,"MG-3109006-C600B539532F428D87935A090C10FBB7","5.0452","MG","Brumadinho","0.2523","IRU","AT","Aguardando","analise",,
,"MG-3109006-11275D8185304E0280D4C8545AEA88A4","0.5464","MG","Brumadinho","0.0300","IRU","AT","Aguardando","análise",,
,"MG-3109006-97B0B3F29ECF493F9CD70F0D0D0A3BBB","1.4414","MG","Brumadinho","0.0721","IRU","AT","Aguardando","analise",,
,"MG-3109006-8F85562A46E24418ACE6108AE2F150F6","12.3907","MG","Brumadinho","0.6195","IRU","AT","Aguardando","analise",,
,"MG-3109006-3ABFC36DB7FF47A5A9E5FF3AD3BE0B0A","19.8225","MG","Brumadinho","0.9911","IRU","AT","Aguardando","analise",,
,"MG-3109006-35AD24FEE27441CFBF3B11C64CE41389","6.3051","MG","Brumadinho","0.3153","IRU","AT","Aguardando","analise",,
,"MG-3109006-47F11615AB7D44CDAB118B5D283BB9CD","2.9261","MG","Brumadinho","0.1463","IRU","AT","Aguardando","analise",,
